,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
190,Machine learning and wireless communications,"YC Eldar, A Goldsmith, D Gündüz, HV Poor",2022,,books.google.com,39,13.0
191,Are formal methods applicable to machine learning and artificial intelligence?,"M Krichen, A Mihoub, MY Alzahrani…",2022," … Conference of Smart …,",ieeexplore.ieee.org,104,34.666666666666664
192,Generalization in quantum machine learning from few training data,"MC Caro, HY Huang, M Cerezo, K Sharma…",2022," Nature …,",nature.com,331,110.33333333333333
193,Mitigating the multicollinearity problem and its machine learning approach: a review,"JYL Chan, SMH Leow, KT Bea, WK Cheng…",2022," Mathematics,",mdpi.com,227,75.66666666666667
194,Artificial intelligence and machine learning in drug discovery and development,"V Patel, M Shah",2022," Intelligent Medicine,",Elsevier,126,42.0
195,Machine learning-driven credit risk: a systemic review,"S Shi, R Tse, W Luo, S D'Addona, G Pau",2022," Neural Computing and …,",Springer,91,30.333333333333332
196,"Significance of machine learning in healthcare: Features, pillars and applications","M Javaid, A Haleem, RP Singh, R Suman…",2022," International Journal of …,",Elsevier,394,131.33333333333334
197,Fusion of finite element and machine learning methods to predict rock shear strength parameters,"D Zhu, B Yu, D Wang, Y Zhang",2024," Journal of Geophysics and …,",academic.oup.com,49,49.0
198,Integrating AI and Machine Learning in Quality Assurance for Automation Engineering,"PR Kothamali, VK Karne…",2024," International Journal for …,",jrps.shodhsagar.com,36,36.0
199,A systematic review of the literature on machine learning application of determining the attributes influencing academic performance,"I Issah, O Appiah, P Appiahene, F Inusah",2023," Decision analytics journal,",Elsevier,56,28.0
200,Chatgpt or human? detect and explain. explaining decisions of machine learning model for detecting short chatgpt-generated text,"S Mitrović, D Andreoletti, O Ayoub",2023," arXiv preprint arXiv:2301.13852,",arxiv.org,150,75.0
201,Understanding APT detection using Machine learning algorithms: Is superior accuracy a thing?,"S Arefin, M Chowdhury, R Parvez…",2024,,ieeexplore.ieee.org,31,31.0
202,Heart diseases prediction using machine learning,"AL Yadav, K Soni, S Khare",2023,,ieeexplore.ieee.org,227,113.5
203,Machine learning can guide food security efforts when primary data are not available,"G Martini, A Bracci, L Riches, S Jaiswal, M Corea…",2022," Nature Food,",nature.com,62,20.666666666666668
204,Fusion-based supply chain collaboration using machine learning techniques,"TM Ghazal, HM Alzoubi",2022," … & Soft Computing,",research.skylineuniversity.ac.ae,256,85.33333333333333
205,Mitigating bias in radiology machine learning: 2. Model development,"K Zhang, B Khosravi, S Vahdati, S Faghani…",2022," Radiology: Artificial …,",pubs.rsna.org,61,20.333333333333332
206,Artificial intelligence and machine learning in cancer imaging,"DM Koh, N Papanikolaou, U Bick, R Illing…",2022," Communications …,",nature.com,152,50.666666666666664
207,Torchdrug: A powerful and flexible machine learning platform for drug discovery,"Z Zhu, C Shi, Z Zhang, S Liu, M Xu, X Yuan…",2022," arXiv preprint arXiv …,",arxiv.org,73,24.333333333333332
208,Machine learning and landslide studies: recent advances and applications,"FS Tehrani, M Calvello, Z Liu, L Zhang, S Lacasse",2022," Natural Hazards,",Springer,125,41.666666666666664
209,A survey of privacy attacks in machine learning,"M Rigaki, S Garcia",2023," ACM Computing Surveys,",dl.acm.org,266,133.0
210,"Mental health prediction using machine learning: taxonomy, applications, and challenges","J Chung, J Teo",2022," Applied Computational Intelligence and Soft …,",Wiley Online Library,111,37.0
211,Applications of Machine Learning in Viral Disease Diagnosis,"JK Chaudhary, H Sharma, SN Tadiboina…",2023," … on Computing for …,",ieeexplore.ieee.org,66,33.0
212,Machine learning and deep learning based predictive quality in manufacturing: a systematic review,"H Tercan, T Meisen",2022," Journal of Intelligent Manufacturing,",Springer,163,54.333333333333336
213,Towards applicability of machine learning techniques in agriculture and energy sector,"K Arumugam, Y Swathi, DT Sanchez, M Mustafa…",2022," Materials Today …,",Elsevier,42,14.0
214,Recent advances and application of machine learning in food flavor prediction and regulation,"H Ji, D Pu, W Yan, Q Zhang, M Zuo, Y Zhang",2023," Trends in Food Science & …,",Elsevier,49,24.5
215,Applied machine learning as a driver for polymeric biomaterials design,"SM McDonald, EK Augustine, Q Lanners…",2023," Nature …,",nature.com,33,16.5
216,A survey of machine learning approaches in animal behaviour,"N Kleanthous, AJ Hussain, W Khan, J Sneddon…",2022," Neurocomputing,",Elsevier,40,13.333333333333334
217,"Patterns, predictions, and actions: Foundations of machine learning","M Hardt, B Recht",2022,,books.google.com,39,13.0
218,A dependable hybrid machine learning model for network intrusion detection,"MA Talukder, KF Hasan, MM Islam, MA Uddin…",2023," Journal of Information …,",Elsevier,135,67.5
219,A comprehensive survey on poisoning attacks and countermeasures in machine learning,"Z Tian, L Cui, J Liang, S Yu",2022," ACM Computing Surveys,",dl.acm.org,161,53.666666666666664
220,A review of feature selection methods for machine learning-based disease risk prediction,"N Pudjihartono, T Fadason, AW Kempa-Liehr…",2022," Frontiers in …,",frontiersin.org,348,116.0
221,A machine learning model that outperforms conventional global subseasonal forecast models,"L Chen, X Zhong, H Li, J Wu, B Lu, D Chen…",2024," Nature …,",nature.com,5,5.0
222,"A comparative analysis of K-nearest neighbor, genetic, support vector machine, decision tree, and long short term memory algorithms in machine learning","M Bansal, A Goyal, A Choudhary",2022," Decision Analytics Journal,",Elsevier,353,117.66666666666667
223,Systematic literature review: Quantum machine learning and its applications,"D Peral-García, J Cruz-Benito…",2024," Computer Science …,",Elsevier,93,93.0
224,Machine learning in aerodynamic shape optimization,"J Li, X Du, JRRA Martins",2022," Progress in Aerospace Sciences,",Elsevier,173,57.666666666666664
225,Interpretable machine learning for knowledge generation in heterogeneous catalysis,"JA Esterhuizen, BR Goldsmith, S Linic",2022," Nature catalysis,",nature.com,184,61.333333333333336
226,Comparative analysis for slope stability by using machine learning methods,"YA Nanehkaran, Z Licai, J Chengyong, J Chen…",2023," Applied Sciences,",mdpi.com,48,24.0
227,A digital game based learning approach for effective curriculum transaction for teaching-learning of artificial intelligence and machine learning,A Alam,2022," … Conference on Sustainable Computing and Data …,",ieeexplore.ieee.org,450,150.0
228,The role of machine learning techniques in internet of things-based cloud applications,"S Mishra, AK Tyagi",2022," Artificial intelligence-based internet of things systems,",Springer,228,76.0
229,Extensive review on the role of machine learning for multifactorial genetic disorders prediction,"DD Solomon, Sonia, K Kumar, K Kanwar, S Iyer…",2024," … Methods in Engineering,",Springer,19,19.0
230,Interpretable and explainable machine learning for materials science and chemistry,"F Oviedo, JL Ferres, T Buonassisi…",2022," Accounts of Materials …,",ACS Publications,122,40.666666666666664
231,A Review on Sustainable Energy Sources Using Machine Learning and Deep Learning Models,"A Bhansali, N Narasimhulu, R Pérez de Prado…",2023," Energies,",mdpi.com,30,15.0
232,"Machine learning for high-entropy alloys: Progress, challenges and opportunities","X Liu, J Zhang, Z Pei",2023," Progress in Materials Science,",Elsevier,132,66.0
233,How machine learning is solving the binary function similarity problem,"A Marcelli, M Graziano, X Ugarte-Pedrero…",2022," 31st USENIX Security …,",usenix.org,88,29.333333333333332
234,Democratizing artificial intelligence: How no-code AI can leverage machine learning operations,"L Sundberg, J Holmström",2023," Business Horizons,",Elsevier,60,30.0
235,Machine learning for spatial analyses in urban areas: a scoping review,"Y Casali, NY Aydin, T Comes",2022," Sustainable cities and society,",Elsevier,78,26.0
236,Quantum machine learning: from physics to software engineering,"A Melnikov, M Kordzanganeh, A Alodjants…",2023," Advances in Physics …,",Taylor & Francis,68,34.0
237,Application of machine learning in anaerobic digestion: Perspectives and challenges,"IA Cruz, W Chuenchart, F Long, KC Surendra…",2022," Bioresource …,",Elsevier,151,50.333333333333336
238,Unsupervised machine learning in urban studies: A systematic review of applications,"J Wang, F Biljecki",2022," Cities,",Elsevier,103,34.333333333333336
239,Application of machine learning to the monitoring and prediction of food safety: A review,"X Wang, Y Bouzembrak, AO Lansink…",2022," … Reviews in Food …,",Wiley Online Library,91,30.333333333333332
240,Machine learning for multi-omics data integration in cancer,"Z Cai, RC Poulos, J Liu, Q Zhong",2022," Iscience,",cell.com,116,38.666666666666664
241,Machine learning and artificial intelligence in pharmaceutical research and development: a review,"S Kolluri, J Lin, R Liu, Y Zhang, W Zhang",2022," The AAPS journal,",Springer,160,53.333333333333336
242,Reviewing machine learning of corrosion prediction in a data-oriented perspective,"LB Coelho, D Zhang, Y Van Ingelgem…",2022," npj Materials …,",nature.com,104,34.666666666666664
243,"Using machine learning to impact on long-term clinical care: principles, challenges, and practicalities","JJ Ashton, A Young, MJ Johnson, RM Beattie",2023," Pediatric Research,",nature.com,30,15.0
244,A survey of machine learning in additive manufacturing technologies,J Jiang,2023," International Journal of Computer Integrated …,",Taylor & Francis,39,19.5
245,Building energy consumption prediction for residential buildings using deep learning and other machine learning techniques,"R Olu-Ajayi, H Alaka, I Sulaimon, F Sunmola…",2022," Journal of Building …,",Elsevier,323,107.66666666666667
246,Scientific machine learning through physics–informed neural networks: Where we are and what's next,"S Cuomo, VS Di Cola, F Giampaolo, G Rozza…",2022," Journal of Scientific …,",Springer,1136,378.6666666666667
247,Machine learning advances for time series forecasting,"RP Masini, MC Medeiros…",2023," Journal of economic …,",Wiley Online Library,305,152.5
248,A review of machine learning in processing remote sensing data for mineral exploration,"H Shirmard, E Farahbakhsh, RD Müller…",2022," Remote Sensing of …,",Elsevier,208,69.33333333333333
249,"Application of machine learning in thermal comfort studies: A review of methods, performance and challenges","ZQ Fard, ZS Zomorodian, SS Korsavi",2022," Energy and Buildings,",Elsevier,126,42.0
250,In-processing modeling techniques for machine learning fairness: A survey,"M Wan, D Zha, N Liu, N Zou",2023," ACM Transactions on Knowledge …,",dl.acm.org,110,55.0
251,"A review on machine learning, artificial intelligence, and smart technology in water treatment and monitoring","M Lowe, R Qin, X Mao",2022," Water,",mdpi.com,159,53.0
252,Logic-based explainability in machine learning,J Marques-Silva,2022, … Knowledge: 18th International Summer School,Springer,47,15.666666666666666
253,Multi-omic machine learning predictor of breast cancer therapy response,"SJ Sammut, M Crispin-Ortuzar, SF Chin, E Provenzano…",2022," Nature,",nature.com,319,106.33333333333333
254,Data poisoning attacks against machine learning algorithms,"FA Yerlikaya, Ş Bahtiyar",2022," Expert Systems with Applications,",Elsevier,55,18.333333333333332
255,Diabetes mellitus prediction and diagnosis from a data preprocessing and machine learning perspective,"CC Olisah, L Smith, M Smith",2022," Computer Methods and Programs in …,",Elsevier,128,42.666666666666664
256,Shifting machine learning for healthcare from development to deployment and from models to data,"A Zhang, L Xing, J Zou, JC Wu",2022," Nature Biomedical Engineering,",nature.com,202,67.33333333333333
257,New opportunity: machine learning for polymer materials design and discovery,"P Xu, H Chen, M Li, W Lu",2022," Advanced Theory and Simulations,",Wiley Online Library,67,22.333333333333332
258,Operating machine learning across natural language processing techniques for improvement of fabricated news model,"K Sharifani, M Amini, Y Akbari…",2022," … Journal of Science …,",papers.ssrn.com,145,48.333333333333336
259,"Machine learning and deep learning based computational techniques in automatic agricultural diseases detection: Methodologies, applications, and challenges","JA Wani, S Sharma, M Muzamil, S Ahmed…",2022," … methods in Engineering,",Springer,157,52.333333333333336
260,Machine learning–enabled high-entropy alloy discovery,"Z Rao, PY Tung, R Xie, Y Wei, H Zhang, A Ferrari…",2022," Science,",science.org,280,93.33333333333333
